item,value
line9_length_m,216.141
trace_step_m,1.7018976377952755
domain_x_m,480.0
left_margin_m,120.0
right_margin_m,143.85900000000004
side_boundary_outer_min_ns,800.0
side_boundary_inner_min_ns,780.0
line9_label_time_median_ns,382.21604287335464
target_geom_median_ns,360.21653638599935
target_visible_median_ns,382.21653638599935
target_visible_q05_ns,365.5187223124179
target_visible_q95_ns,403.6956616604265
line9_visible_misfit_abs_median_ns,0.06050605359772021
target_depth_median_m,13.788106692222453
target_depth_q05_m,13.069699154362372
target_depth_q95_m,14.625783622897318
R_TARGET,-0.3333333333333333
triangle_count_raw,3840.0
triangle_count_background,2880.0
