run_id,passed,reference_arrival_ns,pick_ns,pick_offset_ns,target_difference_rms,pre_target_difference_rms,target_to_pre_target_difference_db,full_direct_rms,control_direct_rms
SHAPE02_TRACE128_GEO05_APERIODIC_MULTISCALE_LOW_CUDA129,True,438.83795166015625,435.66704254103416,-3.1709091191220864,0.0010740403054186277,9.238938373825082e-06,41.3079701828388,31.469958683456408,31.46995868064186
SHAPE02_TRACE128_GEO02_BROAD_BEDROCK_TROUGH_CUDA129,True,454.05853271484375,448.7575741099949,-5.300958604848859,0.00098406767409449,9.086649995052698e-06,40.692423316413205,31.469958683456408,31.46995868064186
SHAPE02_TRACE128_CAL00_CUDA129,True,432.9136047363281,431.98754177570464,-0.9260629606234829,0.0007525382919413093,9.328056413001957e-06,38.13474878901748,31.469958683456408,31.46995868064186
SHAPE02_TRACE128_GEO06_APERIODIC_MULTISCALE_MEDIUM_CUDA129,True,436.6385192871094,430.3600702833474,-6.278449003761978,0.0007459847363749206,9.277649941408452e-06,38.10583918973576,31.469958683456408,31.46995868064186
SHAPE02_TRACE128_GEO07_SMOOTH_TERRACE_RAMP_CUDA129,True,450.7425231933594,451.3049207936846,0.5623976003251983,0.000717435180318203,9.083836948554113e-06,37.95026677663328,31.469958683456408,31.46995868064186
SHAPE02_TRACE128_CAL01_GENTLE_DIP_CUDA129,True,433.0161437988281,427.3881658190428,-5.627977979785328,0.0007447694942809396,9.459472911684499e-06,37.92309883537784,31.46995867492056,31.46995868064186
SHAPE02_TRACE128_GEO08_BROAD_INCISED_LOW_CUDA129,True,455.10174560546875,445.57339075538283,-9.528354850085918,0.0006323804438388633,9.16870450919273e-06,36.77340909247529,31.469958683456408,31.46995868064186
SHAPE02_TRACE128_GEO09_DISTRIBUTED_FAULT_FLEXURE_CUDA129,True,431.2878112792969,422.9303091225858,-8.357502156711064,0.0005552358438722443,1.0736066468156595e-05,34.272646062423824,31.46995868504416,31.46995868064186
SHAPE02_TRACE128_GEO10_COMPOUND_SHOULDER_CUDA129,True,429.65234375,421.8689146710485,-7.783429078951485,0.00044230953115672954,9.301388573272872e-06,33.54357020291208,31.469958678731,31.46995868064186
SHAPE02_TRACE128_GEO01_BROAD_BEDROCK_HIGH_CUDA129,True,410.8080749511719,409.2029408827027,-1.6051340684691695,0.00044378362397624324,9.422834657741296e-06,33.45979403392077,31.469958683456408,31.46995868064186
SHAPE02_TRACE128_GEO04_DOUBLE_RELIEF_CUDA129,True,436.0733642578125,423.9917035741232,-12.081660683689279,0.0004414213809453101,9.59154201933496e-06,33.25929862706203,31.469958683456408,31.46995868064186
SHAPE02_TRACE128_GEO03_ASYMMETRIC_FLEXURE_CUDA129,True,439.1269226074219,426.1852521073004,-12.941670500121461,0.0004904176984204394,1.1495440469492654e-05,32.60081036152751,31.469958678657502,31.46995868064186
